X,Y,DENOMINAZI,REGIONE,ENTE_TITOL,ENTE_GESTO,RESPONSABI,TELEFONO,E___MAIL,ALTRA_MAIL,INDIRIZZO,comune,PROVINCIA_,SITO_WEB,ALTRO_SITO,SOCIAL,ALTRO_SOCI,X,Y,icon_url
9.2942541,45.6035418,CREDA ONLUS - LT MONZA CENTRO RICERCA EDUCAZIONE DOCUMENTAZIONE AMBIENTALE,LOMBARDIA,CREDA ONLUS,CREDA ONLUS,LUCA BAGLIVO,039 9451248 - 327 3717547 ,info@creda.it / creda@legalmail.it,,Cascina Mulini Asciutti - v.le dei Mulini Asciutti 2/4 | Parco di Monza- Monza (MB),Monza,MANTOVA,https://www.creda.it/,,N.D.,,9.294254100000000,45.603541800000002,./0.png
10.7827973,45.1260379,LABTER – CREA MANTOVA,LOMBARDIA,RETE DI SCUOLE,"ISTITUTO D'ISTRUZIONE SUPERIORE DI STATO ""P.A. STROZZI""",N.D.,037 6380292 - 0376 380296,labter@labtercrea.it,,"Strada Spolverina, 3 - 46100 Mantova",Mantova,MANTOVA,www.labtercrea.it,,N.D.,,10.782797300000000,45.126037900000000,./0.png
12.23738,46.15944,LABORATORIO TERRITORIALE NODO INFEA DI BELLUNO,VENETO,COMUNE DI BELLUNO,COMUNE DI BELLUNO,N.D.,0437 935501,egris@arpa.veneto.it,,"via F Tomea 5, Belluno (bl)",Belluno,BELLUNO,www.arpa.veneto.it/rete-ea/retedamb_struttura.php?id=1605,,N.D.,,12.237380000000000,46.159439999999996,./0.png
11.873037,45.3819653,LABORATORIO TERRITORIALE NODO INFEA DI PADOVA  INFORMAMBIENTCOMUNE DI PADOVA,VENETO,COMUNE DI PADOVA,COMUNE DI PADOVA,N.D.,0498 022488,informambiente@comune.padova.it,,Via dei Salici 35 Loc. Guizza - Padova (PD),Padova,PADOVA,www.arpa.veneto.it/rete-ea/retedamb_struttura.php?id=664 / www.padovanet.it,,N.D.,,11.873037000000000,45.381965299999997,./0.png
11.7872456,45.0749779,LABORATORIO TERRITORIALE NODO INFEA DI ROVIGO ,VENETO,COMUNE DI ROVIGO,COMUNE DI ROVIGO,N.D.,0425 386842,laterra@agenda21polesine. it,,"Viale della Pace, 5 - 4°piano - Rovigo (RO)",Rovigo,ROVIGO,www.arpa.veneto.it/rete-ea/retedamb_struttura.php?id=444,,N.D.,,11.787245600000000,45.074977900000000,./0.png
12.2645881,45.6904745,LABORATORIO TERRITORIALE NODO INFEA DI TREVISO ,VENETO,COMUNE DI TREVISO,COMUNE DI TREVISO,N.D.,0422 656783,"mobilita@provincia.treviso.it,",,"Via Cal di Breda, 1160 - Treviso (TV)",Treviso,TREVISO,webhttp//ecologiaprovinciatrevisoit/Engine/RAServePGphp www.arpa.veneto.it/rete-ea/retedamb_struttura.php?id=584,,N.D.,,12.264588099999999,45.690474500000001,./0.png
12.2539643,45.4849398,LABORATORIO TERRITORIALE NODO INFEA DI VENEZIA ,VENETO,COMUNE DI VENEZIA,COMUNE DI VENEZIA,N.D.,0412 501213,educazioneambientale@provincia.venezia.it,,"Centro Servizi - Via Forte Marghera, 191 – Loc Mestre - Venezia (VE)",Venezia,VENEZIA,https://www.arpa.veneto.it/rete-ea/retedamb_struttura.php?id=11,,N.D.,,12.253964300000000,45.484939799999999,./0.png
11.3964379,45.7377057,LABORATORIO TERRITORIALE NODO INFEA DI VICENZA ,VENETO,COMUNE DI VICENZA,COMUNE DI VICENZA,N.D.,0445 641606,info@laboratorioambientale.vi.it,,"Via SMaria, Loc Villa Rossi - Casa del Custode - Santorso (VI)",Santorso,VICENZA,http//www.laboratorioambientalevi.it / https://www.arpa.veneto.it/rete-ea/retedamb_struttura.php?id=445,,N.D.,,11.396437900000000,45.737705699999999,./0.png
9.1041674,44.372543,AURELIA,LIGURIA,"COMUNE DI SORI (CAPOFILA), BOGLIASCO E PIEVE L.",COMUNE DI SORI,N.D.,0185 733231,area.tecnica@comune.sori.ge.it,,"Via G Stagno, 19 – Sori (GE)",Sori,GENOVA,www.aureliacea.com,,N.D.,,9.104167400000000,44.372543000000000,./0.png
8.2777483,44.3979008,CAIRO MONTENOTTE,LIGURIA,COMUNE DI CAIRO MONTENOTTE,COMUNE DI CAIRO MONTENOTTE,ANNA FERRANDO,019 502164,ambientecommercio-ceacairo@comunecairo.it,,Corso Italia 45 - 17014 Cairo Montenotte (SV),Rezzo,IMPERIA,www.comunedicairo.it,,N.D.,,8.277748300000003,44.397900800000002,./0.png
